node_id,node_index
cs07F,0
cs01M,1
cs08F,2
cs09F,3
cs02F,4
ru01M,5
cs04M,6
cs05M,7
cs03M,8
cs06M,9
ru03M,10
ru05M,11
ru02M,12
vi01M,13
vi04M,14
vi02M,15
vi03F,16
ru04F,17
de03M,18
de01M,19
de04M,20
de05F,21
de02F,22
de06M,23
cs16M_NT,24
ru06F,25
sk01M_NT,26
sk02F_NT,27
cs10F_NT,28
cs13M_NT,29
en01M_NT,30
cs11M_NT,31
fr02M_NT,32
en02M_NT,33
cs15M_NT,34
fa01M_NT,35
fa02M_NT,36
fr01M_NT,37
cs12M_NT,38
cs14M_NT,39
el01M_NT,40
el02M_NT,41
ru10F_NT,42
ru09M_NT,43
ru07F_NT,44
ru08M_NT,45
ar01F_NT,46
ar02M_NT,47
de07M_NT,48
de08M_NT,49
cs17M,50
de13M,51
ro02M,52
cs18F,53
cs19M,54
hr01F,55
en03M,56
de14M,57
de15M,58
fa03F,59
el03M,60
de09M,61
de16M,62
en08M,63
de11M,64
el04F,65
en05M,66
de10M,67
ro01M,68
ro03M,69
fr04M,70
de12M,71
fr03F,72
en10M,73
en09M,74
en07M,75
el05F,76
en06M,77
en04M,78
cs20F,79
